Unnamed: 0,English,Turkish
1453,instead,yerine
1454,canadian,kanadalı
1455,cool,Serin
1456,normal,normal
1457,wrote,yazdı
1458,enterprise,girişim
1459,ships,gemiler
1460,entire,bütün
1461,educational,eğitimsel
1462,md,md
1463,leading,önde gelen
1464,metal,metal
1465,positive,olumlu
1466,fl,fl
1467,fitness,fitness
1468,chinese,Çince
1469,opinion,fikir
1470,mb,mb
1471,asia,Asya
1472,football,futbol
1473,abstract,soyut
1474,uses,kullanımları
1475,output,çıktı
1476,funds,fonlar
1477,mr,Bay
1478,greater,daha büyük
1479,likely,büyük ihtimalle
1480,develop,geliştirmek
1481,employees,çalışanlar
1482,artists,sanatçılar
1483,alternative,alternatif
1484,processing,işleme
1485,responsibility,sorumluluk
1486,resolution,çözünürlük
1487,java,Java'da
1488,guest,misafir
1489,seems,öyle gibi
1490,publication,yayın
1491,pass,geçmek
1492,relations,ilişkiler
1493,trust,güven
1494,van,kamyonet
1495,contains,içerir
1496,session,oturum
1497,multi,çok
1498,photography,fotoğrafçılık
1499,republic,cumhuriyet
1500,fees,ücretler
1501,components,bileşenler
1502,vacation,tatil
1503,century,yüzyıl
1504,academic,akademik
1505,assistance,yardım
1506,completed,tamamlanmış
1507,skin,deri
1508,graphics,grafikler
1509,indian,Hint
1510,prev,önceki
1511,ads,reklamlar
1512,mary,Mary
1513,il,il
1514,expected,beklenen
1515,ring,yüzük
1516,grade,seviye
1517,dating,flört
1518,pacific,Pasifik
1519,mountain,dağ
1520,organizations,kuruluşlar
1521,pop,pop
1522,filter,filtre
1523,mailing,postalama
1524,vehicle,araç
1525,longer,daha uzun
1526,consider,dikkate almak
1527,int,int
1528,northern,kuzey
1529,behind,arka
1530,panel,panel
1531,floor,zemin
1532,german,Almanca
1533,buying,satın alma
1534,match,kibrit
1535,proposed,önerilen
1536,default,varsayılan
1537,require,gerekmek
1538,iraq,Irak
1539,boys,oğlanlar
1540,outdoor,dış mekan
1541,deep,derin
1542,morning,Sabah
1543,otherwise,aksi takdirde
1544,allows,izin verir
1545,rest,dinlenmek
1546,protein,protein
1547,plant,bitki
1548,reported,bildirildi
1549,hit,vurmak
1550,transportation,toplu taşıma
1551,mm,mm
1552,pool,havuz
1553,mini,mini
1554,politics,siyaset
1555,partner,ortak
1556,disclaimer,sorumluluk reddi
1557,authors,yazarlar
1558,boards,panolar
1559,faculty,fakülte
1560,parties,partiler
1561,fish,balık
1562,membership,üyelik
1563,mission,misyon
1564,eye,göz
1565,string,sicim
1566,sense,algı
1567,modified,değiştirilmiş
1568,pack,ambalaj
1569,released,piyasaya sürülmüş
1570,stage,sahne
1571,internal,dahili
1572,goods,mal
1573,recommended,tavsiye edilen
1574,born,doğmak
1575,unless,meğer ki
1576,richard,Richard
1577,detailed,ayrıntılı
1578,japanese,Japonca
1579,race,ırk
1580,approved,onaylı
1581,background,arka plan
1582,target,hedef
1583,except,hariç
1584,character,karakter
1585,usb,USB
1586,maintenance,Bakım
1587,ability,yetenek
1588,maybe,Belki
1589,functions,fonksiyonlar
1590,ed,ed
1591,moving,hareket eden
1592,brands,markalar
1593,places,yer
1594,php,php
1595,pretty,tatlı
1596,trademarks,ticari markalar
1597,phentermine,fentermin
1598,spain,İspanya
1599,southern,güney
1600,yourself,kendin
1601,etc,vesaire
1602,winter,kış
1603,rape,tecavüz
1604,battery,pil
1605,youth,gençlik
1606,pressure,basınç
1607,submitted,gönderildi
1608,boston,Boston
1609,incest,ensest
1610,debt,borç
1611,keywords,anahtar kelimeler
1612,medium,orta
1613,television,televizyon
1614,interested,ilgili
1615,core,çekirdek
1616,break,kırmak
1617,purposes,amaçlar
1618,throughout,boyunca
1619,sets,setler
1620,dance,dans
1621,wood,odun
1622,msn,msn
1623,itself,kendisi
1624,defined,tanımlanmış
1625,papers,kağıtlar
1626,playing,oynuyor
1627,awards,ödüller
1628,fee,ücret
1629,studio,stüdyo
1630,reader,okuyucu
1631,virtual,sanal
1632,device,cihaz
1633,established,kurulmuş
1634,answers,cevaplar
1635,rent,kira
1636,las,son
1637,remote,uzak
1638,dark,karanlık
1639,programming,programlama
1640,external,harici
1641,apple,elma
1642,le,le
1643,regarding,ilişkin
1644,instructions,talimatlar
1645,min,dakika
1646,offered,teklif edildi
1647,theory,teori
1648,enjoy,Eğlence
1649,remove,kaldırmak
1650,aid,yardım
1651,surface,yüzey
1652,minimum,asgari
1653,visual,görsel
1654,host,ev sahibi
1655,variety,çeşitlilik
1656,teachers,öğretmenler
1657,isbn,isbn
1658,martin,kırlangıç
1659,manual,manuel
1660,block,engellemek
1661,subjects,konular
1662,agents,ajanlar
1663,increased,artırılmış
1664,repair,tamirat
1665,fair,adil
1666,civil,sivil
1667,steel,çelik
1668,understanding,anlayış
1669,songs,şarkılar
1670,fixed,sabit
1671,wrong,yanlış
1672,beginning,başlangıç
1673,hands,eller
1674,associates,ortaklar
1675,finally,Sonunda
1676,az,az
1677,updates,güncellemeler
1678,desktop,masaüstü
1679,classes,sınıflar
1680,paris,Paris
1681,ohio,Ohio
1682,gets,alır
1683,sector,sektör
1684,capacity,kapasite
1685,requires,gereklilikler
1686,jersey,Jersey
1687,un,bir
1688,fat,yağ
1689,fully,tamamen
1690,father,baba
1691,electric,elektrik
1692,saw,testere
1693,instruments,aletler
1694,quotes,alıntılar
1695,officer,memur
1696,driver,sürücü
1697,businesses,işletmeler
1698,dead,ölü
1699,respect,Saygı
1700,unknown,bilinmeyen
1701,specified,belirtilen
1702,restaurant,restoran
1703,mike,Mike
1704,trip,seyahat
1705,pst,PST
1706,worth,değer
1707,mi,mi
1708,procedures,prosedürler
1709,poor,fakir
1710,teacher,Öğretmen
1711,xxx,xxx
1712,eyes,gözler
1713,relationship,ilişki
1714,workers,işçiler
1715,farm,çiftlik
1716,fucking,sikişmek
1717,georgia,Georgia
1718,peace,barış
1719,traditional,geleneksel
1720,campus,kampüs
1721,tom,tom
1722,showing,gösteriliyor
1723,creative,yaratıcı
1724,coast,sahil
1725,benefit,fayda
1726,progress,ilerlemek
1727,funding,fonlama
1728,devices,cihazlar
1729,lord,efendi
1730,grant,hibe etmek
1731,sub,alt
1732,agree,kabul etmek
1733,fiction,kurgu
1734,hear,duymak
1735,sometimes,Bazen
1736,watches,saatler
1737,careers,kariyerler
1738,beyond,öte
1739,goes,gitmek
1740,families,aileler
1741,led,neden olmuş
1742,museum,müze
1743,themselves,kendileri
1744,fan,fan
1745,transport,ulaşım
1746,interesting,ilginç
1747,blogs,bloglar
1748,wife,eş
1749,evaluation,değerlendirme
1750,accepted,kabul edildi
1751,former,önceki
1752,implementation,uygulama
1753,ten,on
1754,hits,hitler
1755,zone,alan
1756,complex,karmaşık
1757,th,inci
1758,cat,kedi
1759,galleries,galeriler
1760,references,referanslar
1761,die,ölmek
1762,presented,sunuldu
1763,jack,kriko
1764,flat,düz
1765,flow,akış
1766,agencies,acenteler
1767,literature,edebiyat
1768,respective,saygılı
1769,parent,ebeveyn
1770,spanish,İspanyol
1771,michigan,Michigan
1772,columbia,Kolombiya
1773,setting,ayar
1774,dr,doktor
1775,scale,ölçek
1776,stand,durmak
1777,economy,ekonomi
1778,highest,en yüksek
1779,helpful,yardımsever
1780,monthly,aylık
1781,critical,kritik
1782,frame,çerçeve
1783,musical,müzikal
1784,definition,tanım
1785,secretary,sekreter
1786,angeles,melekler
1787,networking,ağ oluşturma
1788,path,yol
1789,australian,Avustralya
1790,employee,çalışan
1791,chief,şef
1792,gives,verir
1793,kb,kb
1794,bottom,alt
1795,magazines,dergiler
1796,packages,paketler
1797,detail,detay
1798,francisco,Francisco
1799,laws,yasalar
1800,changed,değişti
1801,pet,evcil hayvan
1802,heard,duyulmuş
1803,begin,başlamak
1804,individuals,bireyler
1805,colorado,Colorado
1806,royal,asil
1807,clean,temiz
1808,switch,anahtar
1809,russian,Rusça
1810,largest,en büyük
1811,african,Afrika
1812,guy,adam
1813,titles,başlıklar
1814,relevant,ilgili
1815,guidelines,yönergeler
1816,justice,adalet
1817,connect,bağlamak
1818,bible,İncil
1819,dev,dev
1820,cup,bardak
1821,basket,sepet
1822,applied,uygulanmış
1823,weekly,haftalık
1824,vol,cilt
1825,installation,kurulum
1826,described,tarif edildi
1827,demand,talep etmek
1828,pp,sayfa
1829,suite,süit
1830,vegas,vegas
1831,na,evet
1832,square,kare
1833,chris,İsa
1834,attention,dikkat
1835,advance,ilerlemek
1836,skip,atlamak
1837,diet,diyet
1838,army,ordu
1839,auction,açık artırma
1840,gear,vites
1841,lee,rüzgaraltı
1842,os,işletim sistemi
1843,difference,fark
1844,allowed,izin verilmiş
1845,correct,doğru
1846,charles,Charles
1847,nation,ulus
1848,selling,satış
1849,lots,çok
1850,piece,parça
1851,sheet,çarşaf
1852,firm,firma
1853,seven,Yedi
1854,older,daha yaşlı
1855,illinois,Illinois
1856,regulations,düzenlemeler
1857,elements,elementler
1858,species,türler
1859,jump,zıplamak
1860,cells,hücreler
1861,module,modül
1862,resort,tatil yeri
1863,facility,tesis
1864,random,rastgele
1865,pricing,fiyatlandırma
1866,dvds,dvd'ler
1867,certificate,sertifika
1868,minister,bakan
1869,motion,hareket
1870,looks,görünüyor
1871,fashion,moda
1872,directions,yol tarifi
1873,visitors,ziyaretçiler
1874,documentation,belgeleme
1875,monitor,izlemek
1876,trading,ticaret
1877,forest,orman
1878,calls,çağrılar
1879,whose,kimin
1880,coverage,kapsama alanı
1881,couple,çift
1882,giving,vermek
1883,chance,şans
1884,vision,görüş
1885,ball,top
1886,ending,son
1887,clients,müşteriler
1888,actions,eylemler
1889,listen,Dinlemek
1890,discuss,tartışmak
1891,accept,kabul etmek
1892,automotive,otomotiv
1893,naked,çıplak
1894,goal,amaç
1895,successful,başarılı
1896,sold,satılmış
1897,wind,rüzgâr
1898,communities,topluluklar
1899,clinical,klinik
1900,situation,durum
1901,sciences,bilimler
1902,markets,piyasalar
1903,lowest,en düşük
1904,highly,son derece
1905,publishing,yayıncılık
1906,appear,belli olmak
1907,emergency,acil durum
1908,developing,gelişmekte olan
1909,lives,yaşıyor
1910,currency,para birimi
1911,leather,deri
1912,determine,belirlemek
1913,milf,MILF
1914,temperature,sıcaklık
1915,palm,avuç içi
1916,announcements,duyurular
1917,patient,hasta
1918,actual,gerçek
1919,historical,tarihi
1920,stone,taş
1921,bob,Bob
1922,commerce,ticaret
1923,ringtones,zil sesleri
1924,perhaps,belki
1925,persons,kişiler
1926,difficult,zor
1927,scientific,ilmi
1928,satellite,uydu
1929,fit,yerleştirmek
1930,tests,testler
1931,village,köy
1932,accounts,hesaplar
1933,amateur,amatör
1934,ex,eski
1935,met,tanıştı
1936,pain,ağrı
1937,xbox,xbox
1938,particularly,özellikle
1939,factors,faktörler
1940,coffee,Kahve
1941,www,www
1942,settings,ayarlar
1943,cum,boşalmak
1944,buyer,alıcı
1945,cultural,kültürel
1946,steve,Steve
1947,easily,kolayca
1948,oral,sözlü
1949,ford,Ford
1950,poster,poster
1951,edge,kenar
1952,functional,işlevsel
1953,root,kök
1954,au,au
1955,fi,fi
1956,closed,kapalı
1957,holidays,tatiller
1958,ice,buz
1959,pink,pembe
1960,zealand,zelanda
1961,balance,denge
1962,monitoring,izleme
1963,graduate,mezun olmak
1964,replies,cevaplar
1965,shot,atış
1966,nc,nc
1967,architecture,mimari
1968,initial,ilk
1969,label,etiket
1970,thinking,düşünme
1971,scott,Scott
1972,llc,limited şirket
1973,sec,saniye
1974,recommend,tavsiye etmek
1975,canon,kanon
1976,hardcore,sert
1977,league,lig
1978,waste,atık
1979,minute,dakika
1980,bus,otobüs
1981,provider,sağlayıcı
1982,optional,isteğe bağlı
1983,dictionary,sözlük
1984,cold,soğuk
1985,accounting,muhasebe
1986,manufacturing,üretme
1987,sections,bölümler
1988,chair,sandalye
1989,fishing,balık tutma
1990,effort,çaba
1991,phase,faz
1992,fields,alanlar
1993,bag,çanta
1994,fantasy,fantezi
1995,po,po
1996,letters,edebiyat
1997,motor,motor
1998,va,va
1999,professor,profesör
2000,context,bağlam
2001,install,düzenlemek
2002,shirt,gömlek
2003,apparel,giyim
2004,generally,genel olarak
2005,continued,devam etti
2006,foot,ayak
2007,mass,yığın
2008,crime,suç
2009,count,saymak
2010,breast,göğüs
2011,techniques,teknikler
2012,ibm,IBM
2013,rd,rd
2014,johnson,Johnson
2015,sc,sc
2016,quickly,hızlıca
2017,dollars,dolar
2018,websites,web siteleri
2019,religion,din
2020,claim,iddia
2021,driving,sürüş
2022,permission,izin
2023,surgery,ameliyat
2024,patch,yama
2025,heat,sıcaklık
2026,wild,vahşi
2027,measures,miktar
2028,generation,nesil
2029,kansas,kansas
2030,miss,kayıp
2031,chemical,kimyasal
2032,doctor,doktor
2033,task,görev
2034,reduce,azaltmak
2035,brought,getirilmiş
2036,himself,kendisi
2037,nor,ne de
2038,component,bileşen
2039,enable,olanak vermek
2040,exercise,egzersiz yapmak
2041,bug,böcek
2042,santa,Noel Baba
2043,mid,orta
2044,guarantee,garanti
2045,leader,lider
2046,diamond,elmas
2047,israel,İsrail
2048,se,bak
2049,processes,süreçler
2050,soft,yumuşak
2051,servers,sunucular
2052,alone,yalnız
2053,meetings,toplantılar
2054,seconds,saniyeler
2055,jones,Jones
2056,arizona,Arizona'da
2057,keyword,anahtar kelime
2058,interests,ilgi alanları
2059,flight,uçuş
2060,congress,kongre
2061,fuel,yakıt
2062,username,kullanıcı adı
2063,walk,yürümek
2064,fuck,Kahretsin
2065,produced,üretilen
2066,italian,İtalyan
2067,paperback,ciltsiz kitap
2068,classifieds,sınıflandırılmışlar
2069,wait,Beklemek
2070,supported,desteklenen
2071,pocket,cep
2072,saint,aziz
2073,rose,gül
2074,freedom,özgürlük
2075,argument,argüman
2076,competition,yarışma
2077,creating,yaratmak
2078,jim,Jim
2079,drugs,uyuşturucular
2080,joint,eklem yeri
2081,premium,prim
2082,providers,sağlayıcılar
2083,fresh,taze
2084,characters,karakterler
2085,attorney,avukat
2086,upgrade,güncelleme
2087,di,di
2088,factor,faktör
2089,growing,büyüyen
2090,thousands,binlerce
2091,km,km
2092,stream,aktarım
2093,apartments,daireler
2094,pick,seçmek
2095,hearing,işitme
2096,eastern,doğu
2097,auctions,açık artırmalar
2098,therapy,terapi
2099,entries,girişler
2100,dates,tarihler
2101,generated,oluşturulan
2102,signed,imzalandı
2103,upper,üst
2104,administrative,idari
2105,serious,cidden
2106,prime,astar vurmak
2107,samsung,SAMSUNG
2108,limit,sınır
2109,began,başlamak
2110,louis,Louis
2111,steps,adımlar
2112,errors,hatalar
2113,shops,dükkanlar
2114,bondage,esaret
2115,del,del
2116,efforts,çabalar
2117,informed,bilgilendirilmiş
2118,ga,ga
2119,ac,ac
2120,thoughts,düşünceler
2121,creek,dere
2122,ft,ft
2123,worked,çalıştı
2124,quantity,miktar
2125,urban,kentsel
2126,practices,uygulamalar
2127,sorted,sıralanmış
2128,reporting,raporlama
2129,essential,gerekli
2130,myself,kendim
2131,tours,turlar
2132,platform,platform
2133,load,yük
2134,affiliate,bağlı kuruluş
2135,labor,iş gücü
2136,immediately,hemen
2137,admin,yönetici
2138,nursing,hemşirelik
2139,defense,savunma
2140,machines,makineler
2141,designated,belirlenmiş
2142,tags,etiketler
2143,heavy,ağır
2144,covered,kapalı
2145,recovery,iyileşmek
2146,joe,Joe
2147,guys,Çocuklar
2148,integrated,entegre
2149,configuration,yapılandırma
2150,cock,horoz
2151,merchant,tüccar
2152,comprehensive,kapsayıcı
2153,expert,uzman
2154,universal,evrensel
2155,protect,korumak
2156,drop,düşürmek
2157,solid,sağlam
2158,cds,CD'ler
2159,presentation,sunum
2160,languages,diller
2161,became,oldu
2162,orange,turuncu
2163,compliance,uyum
2164,vehicles,araçlar
2165,prevent,önlemek
2166,theme,tema
2167,rich,zengin
2168,im,Ben
2169,campaign,kampanya
2170,marine,deniz
2171,improvement,gelişim
2172,vs,karşı
2173,guitar,gitar
2174,finding,bulma
2175,pennsylvania,Pensilvanya
2176,examples,örnekler
2177,ipod,ipod
2178,saying,söyleyerek
2179,spirit,ruh
2180,ar,ar
2181,claims,iddialar
2182,porno,porno
2183,challenge,meydan okumak
2184,motorola,motorola
2185,acceptance,kabul
2186,strategies,stratejiler
2187,mo,ay
2188,seem,gözükmek
2189,affairs,işler
2190,touch,dokunmak
2191,intended,amaçlanan
2192,towards,karşı
2193,sa,sa
2194,goals,hedefler
2195,hire,kiralamak
2196,election,seçim
2197,suggest,tavsiye etmek
2198,branch,dal
